START STATE,END STATE,CONDITION
DS_START,DS_REQ_USER_INPUT,PASS
DS_REQ_USER_INPUT,DS_ACT_DUST_API,EX_dust
DS_REQ_USER_INPUT,DS_ANS_DUST_LOCATION_NLG,EX_ood EX_LOCATION prev_ans_state==DS_ANS_DUST_NLG
DS_REQ_USER_INPUT,DS_ANS_DUST_LOCATION_NLG,EX_ood EX_LOCATION prev_ans_state==DS_ANS_DUST_DATE_NLG
DS_REQ_USER_INPUT,DS_ANS_DUST_LOCATION_NLG,EX_ood EX_LOCATION prev_ans_state==DS_ANS_DUST_LOCATION_NLG
DS_REQ_USER_INPUT,DS_ANS_DUST_LOCATION_NLG,EX_ood EX_LOCATION prev_ans_state==DS_ANS_DUST_DATE_LOCATION_NLG
DS_ACT_DUST_API,DS_ANS_DUST_NLG,EX_dust
DS_ACT_DUST_API,DS_ANS_DUST_DATE_NLG,EX_dust EX_DATE
DS_ACT_DUST_API,DS_ANS_DUST_LOCATION_NLG,EX_dust EX_LOCATION
DS_ACT_DUST_API,DS_ANS_DUST_DATE_LOCATION_NLG,EX_dust EX_LOCATION EX_DATE
DS_REQ_USER_INPUT,DS_ACT_WEATHER_API,EX_weather
DS_ACT_WEATHER_API,DS_ANS_WEATHER_NLG,EX_weather
DS_ACT_WEATHER_API,DS_ANS_WEATHER_DATE_NLG,EX_dust EX_DATE
DS_ACT_WEATHER_API,DS_ANS_WEATHER_LOCATION_NLG,EX_dust EX_LOCATION
DS_ACT_WEATHER_API,DS_ANS_WEATHER_DATE_LOCATION_NLG,EX_dust EX_LOCATION EX_DATE
DS_REQ_USER_INPUT,DS_ACT_RESTAURANT_API,EX_restaurant
DS_ACT_RESTAURANT_API,DS_ANS_RESTAURANT_NLG,EX_restaurant
DS_ACT_RESTAURANT_API,DS_ANS_RESTAURANT_RESTAURANT_NLG,EX_restaurant EX_RESTAURANT
DS_ACT_RESTAURANT_API,DS_ANS_RESTAURANT_LOCATION_NLG,EX_restaurant EX_LOCATION
DS_ACT_RESTAURANT_API,DS_ANS_RESTAURANT_LOCATION_RESTAURANT_NLG,EX_restaurant EX_LOCATION EX_RESTAURANT
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_NLG,EX_travel
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_DATE_NLG,EX_travel EX_DATE
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_PLACE_NLG,EX_travel EX_PLACE
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_DATE_PLACE_NLG,EX_travel EX_DATE EX_PLACE
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_PLACE_LOCATION_NLG,EX_travel EX_PLACE EX_LOCATION
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_DATE_PLACE_LOCATION_NLG,EX_travel EX_DATE EX_PLACE EX_LOCATION
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_LOCATION_NLG,EX_travel EX_LOCATION
DS_ACT_TRAVEL_API,DS_ANS_TRAVEL_DATE_LOCATION_NLG,EX_travel EX_LOCATION EX_DATE